ACCOUNTNO,SUBNAME,SITUS,AYB,PRIMARYIMP,EXT CONDITION,INT CONDITION,TAXYEAR,SumOfRAWASSESSEDVALUE,SumOfACTUALVALUE,ATTRIBUTETYPE,ATTRIBUTESUBTYPE
R009225,GORDON'S SUBDIVISION,"585  EAST RIVER LN, ALMONT, CO",1959,1,Average,Average,2025,114370,1829870,VIEWS,SCENIC OR ABOVE AVERAGE
R009227,NORTH VALLEY SUBDIVISION II,"264  CANDLELIGHT LN, GUNNISON, CO 81230",1977,1,Average,,2025,34900,558470,VIEWS,SCENIC OR ABOVE AVERAGE
R009233,SIGNAL PEAK INDUSTRIAL PK 1&2,"500  INDUSTRIAL PARK RD, GUNNISON, CO",1984,1,Average,,2025,114180,422890,VIEWS,SCENIC OR ABOVE AVERAGE
R009237,TINCUP (TOWN OF),"79  FOREST SERVICE ROAD 953.1, TINCUP AREA, CO",1987,1,Average,,2025,50410,806640,VIEWS,LIMITED OR BELOW AVERAGE
R009238,NORTH VALLEY SUBDIVISION II,"301  CANDLELIGHT LN, GUNNISON, CO 81230",1984,1,Average,,2025,36790,588650,VIEWS,SCENIC OR ABOVE AVERAGE
R009240,NORTH VALLEY SUBDIVISION II,"40  CHERRY DR, GUNNISON, CO 81230",1984,1,Average,,2025,48000,768050,VIEWS,SCENIC OR ABOVE AVERAGE
R009246,NORTH VALLEY SUBDIVISION II,"296  CANDLELIGHT LN, GUNNISON, CO 81230",1984,1,Average,,2025,30240,483820,VIEWS,SCENIC OR ABOVE AVERAGE
R009254,NORTH VALLEY SUBDIVISION II,"101  CANDLELIGHT LN, GUNNISON, CO 81230",1984,1,Average,,2025,49820,797120,VIEWS,TYPICAL OR AVERAGE
R009260,WILDERNESS STREAMS FILING 1,"156  TALOGA RD, OHIO CREEK VALLEY, CO",2003,1,Average,,2025,112630,1802100,VIEWS,SCENIC OR ABOVE AVERAGE
R009262,WILDERNESS STREAMS FILING 1,"16287  COUNTY ROAD 730, OHIO CREEK VALLEY, CO",1993,1,Average,Average,2025,75490,1207840,VIEWS,SCENIC OR ABOVE AVERAGE
R009314,BIG HORN SUBD,"44  QUARTZ VIEW  LN, OHIO CITY, CO",1987,1,Average,Average,2025,26980,431790,VIEWS,SCENIC OR ABOVE AVERAGE
R009319,BIG HORN SUBD,"48  BIG HORN DR, OHIO CITY, CO",1965,1,Average,Average,2025,115170,653610,VIEWS,SCENIC OR ABOVE AVERAGE
R009321,BIG HORN SUBD,"131  MOUNTAIN LION LN, OHIO CITY, CO",2017,1,Average,,2025,13150,48670,VIEWS,SCENIC OR ABOVE AVERAGE
R009334,BLUE MESA ESTATES LTD,"3400  COUNTY ROAD 721, SOAP MESA AREA, CO",1984,1,Good,,2025,25610,409650,VIEWS,SCENIC OR ABOVE AVERAGE
R009340,WILDERNESS STREAMS FILING 2,"168  ZUNI TRL, OHIO CREEK VALLEY, CO 81230",2022,1,Excellent,,2025,66440,1057810,VIEWS,PANORAMIC OR OUTSTANDING
R009346,WILDERNESS STREAMS FILING 2,"196  SIOUX RD, OHIO CREEK VALLEY, CO",1983,1,Average,Average,2025,38260,610430,VIEWS,SCENIC OR ABOVE AVERAGE
R009347,WILDERNESS STREAMS FILING 2,"846  SIOUX RD, OHIO CREEK VALLEY, CO",1986,1,Average,Average,2025,64250,1027290,VIEWS,PANORAMIC OR OUTSTANDING
R009348,CRYSTAL CREEK SUBD,"945  DOUGLAS TRL, TAYLOR RIVER CANYON, CO",1986,1,Very Good,,2025,378710,6059340,VIEWS,TYPICAL OR AVERAGE
R009351,CRANOR ACRES,"446  SAGE DR, GUNNISON, CO",1986,1,Average,,2025,40790,652590,VIEWS,SCENIC OR ABOVE AVERAGE
R009356,DUNBAR TRACTS,"1750  COUNTY ROAD 742, TAYLOR RIVER CANYON, CO",2000,1,Average,,2025,101750,1627860,VIEWS,SCENIC OR ABOVE AVERAGE
R009360,WILDERNESS STREAMS FILING 2,"373  SIOUX RD, OHIO CREEK VALLEY, CO",2003,1,Good,Good,2025,112070,1790070,VIEWS,PANORAMIC OR OUTSTANDING
R009363,NORTH VALLEY SUBDIVISION II,"696  CANDLELIGHT LN, GUNNISON, CO 81230",1984,1,Average,Average,2025,38620,617940,VIEWS,PANORAMIC OR OUTSTANDING
R009370,WILDERNESS STREAMS FILING 2,"172  KIOWA TRL, OHIO CREEK VALLEY, CO",1978,1,Average,Average,2025,45780,731690,VIEWS,PANORAMIC OR OUTSTANDING
R009371,MITZEL'S GREEN ACRES,"25  DEBBY WAY, GUNNISON, CO 81230",1974,1,Good,Average,2025,37290,596620,VIEWS,TYPICAL OR AVERAGE
R009374,QUARTZ CREEK SUBDIVISION,"986  FOSSIL VIEW DR, QUARTZ CREEK AREA, CO",1981,1,Average,,2025,16500,264000,VIEWS,SCENIC OR ABOVE AVERAGE
R009386,SPRING CREEK TRACTS,"588  COUNTY ROAD 54, SPRING CREEK, CO",1983,1,Good,Average,2025,47970,767550,VIEWS,TYPICAL OR AVERAGE
R009389,QUARTZ CREEK SUBDIVISION,"187  CHICAGO PARK RD, QUARTZ CREEK AREA, CO 81241",2019,1,Very Good,,2025,19900,318390,VIEWS,TYPICAL OR AVERAGE
R009392,QUARTZ CREEK SUBDIVISION,"988  FOSSIL VIEW DR, QUARTZ CREEK AREA, CO",2000,1,Average,,2025,19450,311110,VIEWS,SCENIC OR ABOVE AVERAGE
R009401,QUARTZ CREEK SUBDIVISION,"ROUNDABOUT LOOP, QUARTZ CREEK AREA, CO",2018,1,Average,,2025,7370,27320,VIEWS,TYPICAL OR AVERAGE
R009403,TOMICHI PARK SUBDIVISION,"11108  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1983,1,Average,,2025,28640,312170,VIEWS,LIMITED OR BELOW AVERAGE
R009405,WILDERNESS STREAMS FILING 2,"1466  SIOUX RD, OHIO CREEK VALLEY, CO",1984,1,Average,Average,2025,75510,1207640,VIEWS,SCENIC OR ABOVE AVERAGE
R009423,WILDERNESS STREAMS FILING 2,"136  MOHAWK TRL, OHIO CREEK VALLEY, CO",1978,1,Average,Average,2025,34140,545450,VIEWS,TYPICAL OR AVERAGE
R009424,BROWN SUBDIVISION,"16020  US HIGHWAY 50, SAPINERO AREA, CO",1926,1,Below Average,,2025,116300,436440,VIEWS,SCENIC OR ABOVE AVERAGE
R009430,QUARTZ CREEK SUBDIVISION,"242  GRASSHOPPER RD, QUARTZ CREEK AREA, CO 81241",1995,1,Average,Average,2025,19290,308710,VIEWS,TYPICAL OR AVERAGE
R009433,QUARTZ CREEK SUBDIVISION,"1070  UPPER ARMSTRONG GULCH RD, QUARTZ CREEK AREA, CO",1983,1,Average,Average,2025,11020,176220,VIEWS,SCENIC OR ABOVE AVERAGE
R009450,GUNNISON HIGHLANDS NORTH,"16155  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1993,1,Average,Average,2025,28220,451500,VIEWS,TYPICAL OR AVERAGE
R009451,GUNNISON HIGHLANDS NORTH,"15801  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1993,1,Average,,2025,30530,488400,VIEWS,TYPICAL OR AVERAGE
R009454,GUNNISON HIGHLANDS NORTH,"17811  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2006,1,Average,Average,2025,34870,557940,VIEWS,PANORAMIC OR OUTSTANDING
R009455,GUNNISON HIGHLANDS NORTH,"19700  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1987,1,Below Average,Below Average,2025,11670,184670,VIEWS,PANORAMIC OR OUTSTANDING
R009456,GUNNISON HIGHLANDS NORTH,"20000  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1997,1,Average,Average,2025,28520,456320,VIEWS,SCENIC OR ABOVE AVERAGE
R009459,GUNNISON HIGHLANDS NORTH,"19551  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2002,1,Average,Average,2025,28810,460970,VIEWS,PANORAMIC OR OUTSTANDING
R009461,GUNNISON HIGHLANDS NORTH,"14900  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1989,1,Average,,2025,16880,270100,VIEWS,TYPICAL OR AVERAGE
R009464,GUNNISON HIGHLANDS NORTH,"18222  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2003,1,Average,Good,2025,56710,907300,VIEWS,SCENIC OR ABOVE AVERAGE
R009472,GUNNISON HIGHLANDS NORTH,"14331  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1994,1,Average,Average,2025,31880,509980,VIEWS,TYPICAL OR AVERAGE
R009474,GUNNISON HIGHLANDS NORTH,"14201  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1983,1,Average,Average,2025,25970,415550,VIEWS,TYPICAL OR AVERAGE
R009478,GUNNISON HIGHLANDS NORTH,"13995  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1994,1,Average,,2025,38440,615000,VIEWS,TYPICAL OR AVERAGE
R009479,GUNNISON HIGHLANDS NORTH,"12601  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2024,1,Excellent,,2025,39580,146600,VIEWS,LIMITED OR BELOW AVERAGE
R009488,GUNNISON HIGHLANDS NORTH,"11960  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2005,1,Average,Good,2025,36360,571880,VIEWS,SCENIC OR ABOVE AVERAGE
R009489,GUNNISON HIGHLANDS NORTH,"11950  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1991,1,Average,Average,2025,60410,966430,VIEWS,SCENIC OR ABOVE AVERAGE
R009499,GUNNISON HIGHLANDS NORTH,"13660  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2013,1,Average,Good,2025,51640,600770,VIEWS,SCENIC OR ABOVE AVERAGE
R009500,GUNNISON HIGHLANDS NORTH,"14652  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2010,1,Very Good,Very Good,2025,87670,1402640,VIEWS,SCENIC OR ABOVE AVERAGE
R009508,GUNNISON HIGHLANDS NORTH,", GUNNISON HIGHLANDS NORTH, CO",2000,1,Average,Average,2025,4450,63150,VIEWS,SCENIC OR ABOVE AVERAGE
R009513,GUNNISON HIGHLANDS NORTH,"11980  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2013,1,Very Good,Very Good,2025,41880,670020,VIEWS,SCENIC OR ABOVE AVERAGE
R009518,GUNNISON HIGHLANDS NORTH,"15091  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",2007,1,Average,Average,2025,4680,67840,VIEWS,SCENIC OR ABOVE AVERAGE
R009524,GUNNISON HIGHLANDS NORTH,"12800  COUNTY ROAD 743, GUNNISON HIGHLANDS NORTH, CO",1979,1,Below Average,,2025,8440,127730,VIEWS,SCENIC OR ABOVE AVERAGE
R009533,WHITE PINE (TOWN OF),"9984  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1974,1,Below Average,Average,2025,11650,186460,VIEWS,SCENIC OR ABOVE AVERAGE
R009539,WHITE PINE (TOWN OF),"220  WHITE PINE ST, WHITE PINE - UPPER TOMICHI, CO",1970,1,Average,,2025,27850,445560,VIEWS,TYPICAL OR AVERAGE
R009540,WHITE PINE (TOWN OF),"9918  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1964,1,Average,,2025,13430,214860,VIEWS,TYPICAL OR AVERAGE
R009541,WHITE PINE (TOWN OF),"9910  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1978,1,Average,,2025,14440,231000,VIEWS,TYPICAL OR AVERAGE
R009554,WHITE PINE (TOWN OF),"9752  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1891,1,Average,,2025,12720,203430,VIEWS,TYPICAL OR AVERAGE
R009556,WHITE PINE (TOWN OF),"9738  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO 00000",1964,1,Average,Average,2025,13170,210690,VIEWS,TYPICAL OR AVERAGE
R009562,WHITE PINE (TOWN OF),"9662  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO 00000",1993,1,Average,,2025,32780,524430,VIEWS,SCENIC OR ABOVE AVERAGE
R009564,WHITE PINE (TOWN OF),"9652  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO 00000",1961,1,Average,,2025,22420,358730,VIEWS,TYPICAL OR AVERAGE
R009572,WHITE PINE (TOWN OF),"9592  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1941,1,Below Average,,2025,9030,144380,VIEWS,TYPICAL OR AVERAGE
R009575,WHITE PINE (TOWN OF),"9568  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1941,1,Average,Below Average,2025,18570,296990,VIEWS,TYPICAL OR AVERAGE
R009582,WHITE PINE (TOWN OF),"9724  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1974,1,Average,,2025,20250,323920,VIEWS,TYPICAL OR AVERAGE
R009583,WHITE PINE (TOWN OF),"COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",2012,1,Minimum,,2025,4370,16170,VIEWS,SCENIC OR ABOVE AVERAGE
R009589,WHITE PINE (TOWN OF),"9955  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1996,1,Average,Average,2025,14620,233880,VIEWS,TYPICAL OR AVERAGE
R009604,WHITE PINE (TOWN OF),"9825  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1983,1,Minimum,Minimal,2025,5960,95290,VIEWS,LIMITED OR BELOW AVERAGE
R009607,WHITE PINE (TOWN OF),"9787  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1901,1,Below Average,,2025,7260,116120,VIEWS,TYPICAL OR AVERAGE
R009608,WHITE PINE (TOWN OF),"9763  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1900,1,Minimum,,2025,6050,96880,VIEWS,TYPICAL OR AVERAGE
R009609,WHITE PINE (TOWN OF),"9723  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1969,1,Average,Below Average,2025,19470,311530,VIEWS,SCENIC OR ABOVE AVERAGE
R009611,WHITE PINE (TOWN OF),"9701  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1891,1,Below Average,,2025,13370,213960,VIEWS,TYPICAL OR AVERAGE
R009618,WHITE PINE (TOWN OF),"9607  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1891,1,Below Average,,2025,13030,208450,VIEWS,TYPICAL OR AVERAGE
R009624,WHITE PINE (TOWN OF),"9531  COUNTY ROAD 888, WHITE PINE - UPPER TOMICHI, CO",1891,1,Below Average,,2025,5780,92340,VIEWS,TYPICAL OR AVERAGE
R009653,WEST ELK RIDGE,"115  WEST ELK LN, GUNNISON, CO 81230",2004,1,Average,,2025,49770,575800,VIEWS,PANORAMIC OR OUTSTANDING
R009661,GLAZE SUBDIVISION,"210  COUNTY ROAD 10, GUNNISON, CO 81230",1998,1,Average,,2025,50830,813250,VIEWS,SCENIC OR ABOVE AVERAGE
R009698,VALLEY VIEW SUBDIVISION,"115  JUNIPER WAY, GUNNISON, CO 81230",1985,1,Average,Average,2025,40510,648190,VIEWS,TYPICAL OR AVERAGE
R009702,OHIO MEADOWS FILING 3,"1260  CHEKWA TRL, GUNNISON, CO 81230",1979,1,Average,,2025,47770,764310,VIEWS,TYPICAL OR AVERAGE
R009705,OHIO MEADOWS FILING 3,"886  PASHUTA DR, GUNNISON, CO",1979,1,Average,,2025,94660,1514520,VIEWS,SCENIC OR ABOVE AVERAGE
R009706,OHIO MEADOWS FILING 3,"928  PASHUTA DR, GUNNISON, CO 81230",1980,1,Average,,2025,71700,1147090,VIEWS,TYPICAL OR AVERAGE
R009707,OHIO MEADOWS FILING 3,"984  PASHUTA DR, GUNNISON, CO 81230",2019,1,Very Good,,2025,77170,1234800,VIEWS,SCENIC OR ABOVE AVERAGE
R009709,OHIO MEADOWS FILING 3,"1458  SENECA DR, GUNNISON, CO 81230",1975,1,Average,Average,2025,53390,854180,VIEWS,SCENIC OR ABOVE AVERAGE
R009710,OHIO MEADOWS FILING 3,"1112  PASHUTA DR, GUNNISON, CO 81230",1980,1,Average,,2025,47890,766260,VIEWS,TYPICAL OR AVERAGE
R009714,OHIO MEADOWS FILING 3,"174  TIAMA TRL, GUNNISON, CO 81230",1982,1,Average,,2025,55420,886630,VIEWS,TYPICAL OR AVERAGE
R009716,OHIO MEADOWS FILING 3,"76  SENECA TRL, GUNNISON, CO 81230",1973,1,Average,,2025,44390,710170,VIEWS,SCENIC OR ABOVE AVERAGE
R009722,OHIO MEADOWS FILING 3,"152  YACO TRL, GUNNISON, CO 81230",1980,1,Average,Average,2025,37510,600090,VIEWS,SCENIC OR ABOVE AVERAGE
R009723,OHIO MEADOWS FILING 3,"1745  SENECA DR, GUNNISON, CO 81230",1980,1,Average,,2025,46820,749080,VIEWS,SCENIC OR ABOVE AVERAGE
R009724,OHIO MEADOWS FILING 3,"1663  SENECA DR, GUNNISON, CO 81230",1980,1,Average,Average,2025,58670,938790,VIEWS,PANORAMIC OR OUTSTANDING
R009725,OHIO MEADOWS FILING 3,"1505  SENECA DR, GUNNISON, CO 81230",2024,1,Excellent,,2025,18670,298660,VIEWS,TYPICAL OR AVERAGE
R009726,OHIO MEADOWS FILING 2,"1325  SENECA DR, GUNNISON, CO 81230",1997,1,Average,Average,2025,59610,953770,VIEWS,PANORAMIC OR OUTSTANDING
R009727,OHIO MEADOWS FILING 2,"1257  SENECA DR, GUNNISON, CO 81230",1999,1,Average,Average,2025,51350,821550,VIEWS,SCENIC OR ABOVE AVERAGE
R009728,OHIO MEADOWS FILING 2,"1143  SENECA DR, GUNNISON, CO 81230",2001,1,Average,,2025,48190,771000,VIEWS,SCENIC OR ABOVE AVERAGE
R009730,OHIO MEADOWS FILING 3,"1457  SENECA DR, GUNNISON, CO 81230",1981,1,Average,Average,2025,56940,910960,VIEWS,SCENIC OR ABOVE AVERAGE
R009732,OHIO MEADOWS FILING 3,"501  PASHUTA DR, GUNNISON, CO 81230",1985,1,Average,,2025,50860,813770,VIEWS,SCENIC OR ABOVE AVERAGE
R009733,OHIO MEADOWS FILING 3,"577  PASHUTA DR, GUNNISON, CO 81230",1981,1,Average,,2025,54290,868540,VIEWS,SCENIC OR ABOVE AVERAGE
R009734,OHIO MEADOWS FILING 3,"653  PASHUTA DR, GUNNISON, CO 81230",1988,1,Average,,2025,65160,1042470,VIEWS,SCENIC OR ABOVE AVERAGE
R009735,OHIO MEADOWS FILING 3,"725  PASHUTA DR, GUNNISON, CO 81230",1976,1,Average,,2025,54450,871140,VIEWS,TYPICAL OR AVERAGE
R009736,OHIO MEADOWS FILING 3,"789  PASHUTA DR, GUNNISON, CO 81230",1973,1,Average,Average,2025,47920,766710,VIEWS,PANORAMIC OR OUTSTANDING
R009737,OHIO MEADOWS FILING 3,"44  TAWANKA TRL, GUNNISON, CO 81230",1993,1,Average,,2025,54570,873060,VIEWS,SCENIC OR ABOVE AVERAGE
R009740,OHIO MEADOWS FILING 3,"99  TAWANKA TRL, GUNNISON, CO 81230",1974,1,Average,,2025,49680,794950,VIEWS,TYPICAL OR AVERAGE
R009746,OHIO MEADOWS FILING 2,"1258  SENECA DR, GUNNISON, CO 81230",2020,1,Good,,2025,92760,1484230,VIEWS,PANORAMIC OR OUTSTANDING
R009748,OHIO MEADOWS FILING 3,"520  PASHUTA DR, GUNNISON, CO 81230",1995,1,Average,,2025,58430,934820,VIEWS,SCENIC OR ABOVE AVERAGE
R009749,OHIO MEADOWS FILING 3,"999  CHEKWA TRL, GUNNISON, CO 81230",2001,1,Average,,2025,50360,805630,VIEWS,SCENIC OR ABOVE AVERAGE
R009751,SERRA SUBDIVISION,"800  SIERRA VISTA WAY, GUNNISON, CO 81230",1973,1,Average,,2025,68140,820150,VIEWS,SCENIC OR ABOVE AVERAGE
R009760,NORTH ELK MEADOWS II,"163  SANDPIPER TRL, GUNNISON, CO 81230",1996,1,Average,Average,2025,47120,754020,VIEWS,SCENIC OR ABOVE AVERAGE
R009763,NORTH ELK MEADOWS II,"189  SANDPIPER TRL, GUNNISON, CO 81230",1992,1,Good,,2025,44210,707470,VIEWS,SCENIC OR ABOVE AVERAGE
R009764,NORTH ELK MEADOWS II,"175  SANDPIPER TRL, GUNNISON, CO 81230",1992,1,Average,Average,2025,41830,669330,VIEWS,SCENIC OR ABOVE AVERAGE
R009766,NORTH ELK MEADOWS II,"141  SANDPIPER TRL, GUNNISON, CO 81230",1994,1,Average,,2025,40740,651840,VIEWS,SCENIC OR ABOVE AVERAGE
R009767,NORTH ELK MEADOWS II,"129  SANDPIPER TRL, GUNNISON, CO",2005,1,Average,Good,2025,45350,725640,VIEWS,TYPICAL OR AVERAGE
R009771,NORTH ELK MEADOWS II,"41  SANDPIPER TRL, GUNNISON, CO 81230",2001,1,Average,,2025,45370,725950,VIEWS,TYPICAL OR AVERAGE
R009772,NORTH ELK MEADOWS II,"45  MEADOW LARK TRL, GUNNISON, CO",2023,1,Excellent,,2025,56640,906220,VIEWS,TYPICAL OR AVERAGE
R009776,NORTH ELK MEADOWS,"320  MEADOW LARK TRL, GUNNISON, CO 81230",1998,1,Average,Average,2025,63490,1015960,VIEWS,TYPICAL OR AVERAGE
R009777,NORTH ELK MEADOWS,"298  MEADOW LARK TRL, GUNNISON, CO 81230",1991,1,Average,,2025,53520,856330,VIEWS,SCENIC OR ABOVE AVERAGE
R009778,NORTH ELK MEADOWS,"276  MEADOW LARK TRL, GUNNISON, CO 81230",1981,1,Average,,2025,50570,809170,VIEWS,SCENIC OR ABOVE AVERAGE
R009779,NORTH ELK MEADOWS,"254  MEADOW LARK TRL, GUNNISON, CO 81230",2007,1,Good,Good,2025,93790,1500630,VIEWS,SCENIC OR ABOVE AVERAGE
R009780,NORTH ELK MEADOWS,"75  BLUE HERON POINT DR, GUNNISON, CO 81230",1979,1,Average,Average,2025,54750,876020,VIEWS,SCENIC OR ABOVE AVERAGE
R009785,NORTH ELK MEADOWS,"188  MEADOW LARK TRL, GUNNISON, CO 81230",1993,1,Average,Average,2025,47860,765730,VIEWS,TYPICAL OR AVERAGE
R009788,NORTH ELK MEADOWS,"63  MALLARD POINT DR, GUNNISON, CO 81230",1992,1,Average,Average,2025,66790,1068600,VIEWS,TYPICAL OR AVERAGE
R009789,NORTH ELK MEADOWS,"107  MALLARD POINT DR, GUNNISON, CO 81230",1993,1,Average,Average,2025,88720,1419410,VIEWS,TYPICAL OR AVERAGE
R009790,NORTH ELK MEADOWS,"104  MALLARD POINT DR, GUNNISON, CO 81230",1993,1,Average,Average,2025,60540,968560,VIEWS,SCENIC OR ABOVE AVERAGE
R009792,NORTH ELK MEADOWS,"18  MALLARD POINT DR, GUNNISON, CO 81230",1979,1,Average,,2025,57580,921360,VIEWS,TYPICAL OR AVERAGE
R009793,NORTH ELK MEADOWS,"16  MALLARD POINT DR, GUNNISON, CO 81230",1979,1,Average,,2025,38520,616330,VIEWS,TYPICAL OR AVERAGE
R009794,NORTH ELK MEADOWS,"146  MEADOW LARK TRL, GUNNISON, CO 81230",1981,1,Average,,2025,51490,823850,VIEWS,SCENIC OR ABOVE AVERAGE
R009795,NORTH ELK MEADOWS,"122  MEADOW LARK TRL, GUNNISON, CO",1980,1,Average,,2025,56750,907990,VIEWS,TYPICAL OR AVERAGE
R009797,NORTH ELK MEADOWS,"26  MEADOW LARK TRL, GUNNISON, CO 81230",2021,1,Average,Excellent,2025,57660,922620,VIEWS,TYPICAL OR AVERAGE
R009798,NORTH ELK MEADOWS,"56  MEADOW LARK TRL, GUNNISON, CO",1985,1,Average,,2025,40650,650500,VIEWS,TYPICAL OR AVERAGE
R009799,NORTH ELK MEADOWS,"34  MEADOW LARK TRL, GUNNISON, CO 81230",1996,1,Average,Average,2025,42720,683530,VIEWS,TYPICAL OR AVERAGE
R009801,NORTH ELK MEADOWS,"341  MEADOW LARK TRL, GUNNISON, CO 81230",2001,1,Good,Good,2025,70320,1125210,VIEWS,TYPICAL OR AVERAGE
R009803,NORTH ELK MEADOWS,"229  MEADOW LARK TRL, GUNNISON, CO 81230",1986,1,Average,Average,2025,49660,794590,VIEWS,TYPICAL OR AVERAGE
R009806,NORTH ELK MEADOWS,"101  MEADOW LARK TRL, GUNNISON, CO 81230",2005,1,Good,Average,2025,51290,820720,VIEWS,TYPICAL OR AVERAGE
R009807,NORTH ELK MEADOWS,"381  MEADOW LARK TRL, GUNNISON, CO",1999,1,Average,Average,2025,48220,771520,VIEWS,SCENIC OR ABOVE AVERAGE
R009808,NORTH ELK MEADOWS,"353  MEADOW LARK TRL, GUNNISON, CO 81230",1996,1,Average,Average,2025,54430,870950,VIEWS,TYPICAL OR AVERAGE
R009809,MOUNTAIN GLOW MEADOWS SUBD,"701  SIERRA VISTA WAY, GUNNISON, CO 81230",1982,1,Average,,2025,60470,967500,VIEWS,SCENIC OR ABOVE AVERAGE
R009811,MOUNTAIN GLOW MEADOWS SUBD,"693  SIERRA VISTA WAY, GUNNISON, CO",2003,1,Average,Average,2025,69260,1108200,VIEWS,TYPICAL OR AVERAGE
R009812,MOUNTAIN GLOW MEADOWS SUBD,"691  SIERRA VISTA WAY, GUNNISON, CO 81230",2004,1,Average,Average,2025,37630,602080,VIEWS,TYPICAL OR AVERAGE
R009818,SPRING MEADOWS SUBD,"109  SPRING MEADOWS TRL, GUNNISON, CO",1993,1,Average,Average,2025,40030,640460,VIEWS,TYPICAL OR AVERAGE
R009819,SPRING MEADOWS SUBD,"133  SPRING MEADOWS TRL, GUNNISON, CO",1995,1,Average,Average,2025,58970,943570,VIEWS,SCENIC OR ABOVE AVERAGE
R009820,SPRING MEADOWS SUBD,"157  SPRING MEADOWS TRL, GUNNISON, CO 81230",2014,1,Average,,2025,67960,1087340,VIEWS,SCENIC OR ABOVE AVERAGE
R009821,SPRING MEADOWS SUBD,"181  SPRING MEADOWS TRL, GUNNISON, CO 81230",1991,1,Average,Average,2025,51510,824190,VIEWS,TYPICAL OR AVERAGE
R009824,SPRING MEADOWS SUBD,"253  SPRING MEADOWS TRL, GUNNISON, CO 81230",1990,1,Average,Average,2025,50240,803770,VIEWS,SCENIC OR ABOVE AVERAGE
R009825,SPRING MEADOWS SUBD,"277  SPRING MEADOWS TRL, GUNNISON, CO 81230",1994,1,Average,Average,2025,83850,1341600,VIEWS,TYPICAL OR AVERAGE
R009828,SPRING MEADOWS SUBD,"329  SPRING MEADOWS TRL, GUNNISON, CO 81230",1991,1,Average,Average,2025,53640,858210,VIEWS,TYPICAL OR AVERAGE
R009832,OHIO MEADOWS FILING 2,"480  PASHUTA DR, GUNNISON, CO 81230",1982,1,Average,Average,2025,60320,965120,VIEWS,TYPICAL OR AVERAGE
R009836,OHIO MEADOWS FILING 2,"336  PASHUTA DR, GUNNISON, CO 81230",1997,1,Average,,2025,51980,831750,VIEWS,SCENIC OR ABOVE AVERAGE
R009841,OHIO MEADOWS FILING 2,"88  PASHUTA DR, GUNNISON, CO 81230",2023,1,Excellent,,2025,49480,791630,VIEWS,TYPICAL OR AVERAGE
R009842,OHIO MEADOWS FILING 2,"141  CHIPPEWA WAY, GUNNISON, CO 81230",1974,1,Good,Average,2025,51890,830130,VIEWS,SCENIC OR ABOVE AVERAGE
R009843,OHIO MEADOWS FILING 2,"229  CHIPPEWA WAY, GUNNISON, CO 81230",1979,1,Average,,2025,75130,1202040,VIEWS,TYPICAL OR AVERAGE
R009846,OHIO MEADOWS FILING 3,"877  CHEKWA TRL, GUNNISON, CO 81230",1995,1,Average,,2025,45510,728090,VIEWS,TYPICAL OR AVERAGE
